x (nodes),y (nodes),x (m),y (m),h + zb (m),zb (m),h (m),u (m/s),v (m/s), q (m^2/s), h analytical (m), u analytical (m/s), h analytical + zb (m) , Fx (m^2/s^2), Fy (m^2/s^2)
    1,    1,    0.00156250000000,    0.00156250000000,    2.00635294009483,    0.00000000000000,    2.00635294009483,   -0.00000580145996,   -0.00000000000000,   -0.00001163977625,    2.00327247920533,    0.00000000000000,    2.00327247920533,   41.15877419947851,    0.00000000000000,
    1,    2,    0.00156250000000,    0.00468750000000,    2.00635294009483,    0.00000000000000,    2.00635294009483,   -0.00000580145996,   -0.00000000000000,   -0.00001163977625,    2.00327247920533,    0.00000000000000,    2.00327247920533,   41.15877419947851,    0.00000000000000,
    1,    3,    0.00156250000000,    0.00781250000000,    2.00635294009483,    0.00000000000000,    2.00635294009483,   -0.00000580145996,   -0.00000000000000,   -0.00001163977625,    2.00327247920533,    0.00000000000000,    2.00327247920533,   41.15877419947851,    0.00000000000000,
    1,    4,    0.00156250000000,    0.01093750000000,    2.00635294009483,    0.00000000000000,    2.00635294009483,   -0.00000580145996,   -0.00000000000000,   -0.00001163977625,    2.00327247920533,    0.00000000000000,    2.00327247920533,   41.15877419947851,    0.00000000000000,
    1,    5,    0.00156250000000,    0.01406250000000,    2.00635294009483,    0.00000000000000,    2.00635294009483,   -0.00000580145996,   -0.00000000000000,   -0.00001163977625,    2.00327247920533,    0.00000000000000,    2.00327247920533,   41.15877419947851,    0.00000000000000,
    2,    1,    0.00468750000000,    0.00156250000000,    2.01288784323003,    0.00000000000000,    2.01288784323003,   -0.00000588925727,   -0.00000000000000,   -0.00001185441437,    2.00981712220764,    0.00000000000000,    2.00981712220764,   41.28925899643094,    0.00000000000000,
    2,    2,    0.00468750000000,    0.00468750000000,    2.01288784323003,    0.00000000000000,    2.01288784323003,   -0.00000588925727,   -0.00000000000000,   -0.00001185441437,    2.00981712220764,    0.00000000000000,    2.00981712220764,   41.28925899643094,    0.00000000000000,
    2,    3,    0.00468750000000,    0.00781250000000,    2.01288784323003,    0.00000000000000,    2.01288784323003,   -0.00000588925727,   -0.00000000000000,   -0.00001185441437,    2.00981712220764,    0.00000000000000,    2.00981712220764,   41.28925899643094,    0.00000000000000,
    2,    4,    0.00468750000000,    0.01093750000000,    2.01288784323003,    0.00000000000000,    2.01288784323003,   -0.00000588925727,   -0.00000000000000,   -0.00001185441437,    2.00981712220764,    0.00000000000000,    2.00981712220764,   41.28925899643094,    0.00000000000000,
    2,    5,    0.00468750000000,    0.01406250000000,    2.01288784323003,    0.00000000000000,    2.01288784323003,   -0.00000588925727,   -0.00000000000000,   -0.00001185441437,    2.00981712220764,    0.00000000000000,    2.00981712220764,   41.28925899643094,    0.00000000000000,
    3,    1,    0.00781250000000,    0.00156250000000,    2.01942186652301,    0.00000000000000,    2.01942186652301,   -0.00000597537254,   -0.00000000000000,   -0.00001206679797,    2.01636081901527,    0.00000000000000,    2.01636081901527,   41.41570593526648,    0.00000000000000,
    3,    2,    0.00781250000000,    0.00468750000000,    2.01942186652301,    0.00000000000000,    2.01942186652301,   -0.00000597537254,   -0.00000000000000,   -0.00001206679797,    2.01636081901527,    0.00000000000000,    2.01636081901527,   41.41570593526648,    0.00000000000000,
    3,    3,    0.00781250000000,    0.00781250000000,    2.01942186652301,    0.00000000000000,    2.01942186652301,   -0.00000597537254,   -0.00000000000000,   -0.00001206679797,    2.01636081901527,    0.00000000000000,    2.01636081901527,   41.41570593526648,    0.00000000000000,
    3,    4,    0.00781250000000,    0.01093750000000,    2.01942186652301,    0.00000000000000,    2.01942186652301,   -0.00000597537254,   -0.00000000000000,   -0.00001206679797,    2.01636081901527,    0.00000000000000,    2.01636081901527,   41.41570593526648,    0.00000000000000,
    3,    5,    0.00781250000000,    0.01406250000000,    2.01942186652301,    0.00000000000000,    2.01942186652301,   -0.00000597537254,   -0.00000000000000,   -0.00001206679797,    2.01636081901527,    0.00000000000000,    2.01636081901527,   41.41570593526648,    0.00000000000000,
    4,    1,    0.01093750000000,    0.00156250000000,    2.02595437952171,    0.00000000000000,    2.02595437952171,   -0.00000605978317,   -0.00000000000000,   -0.00001227684425,    2.02290293893312,    0.00000000000000,    2.02290293893312,   41.53806397814665,    0.00000000000000,
    4,    2,    0.01093750000000,    0.00468750000000,    2.02595437952171,    0.00000000000000,    2.02595437952171,   -0.00000605978317,   -0.00000000000000,   -0.00001227684425,    2.02290293893312,    0.00000000000000,    2.02290293893312,   41.53806397814665,    0.00000000000000,
    4,    3,    0.01093750000000,    0.00781250000000,    2.02595437952171,    0.00000000000000,    2.02595437952171,   -0.00000605978317,   -0.00000000000000,   -0.00001227684425,    2.02290293893312,    0.00000000000000,    2.02290293893312,   41.53806397814665,    0.00000000000000,
    4,    4,    0.01093750000000,    0.01093750000000,    2.02595437952171,    0.00000000000000,    2.02595437952171,   -0.00000605978317,   -0.00000000000000,   -0.00001227684425,    2.02290293893312,    0.00000000000000,    2.02290293893312,   41.53806397814665,    0.00000000000000,
    4,    5,    0.01093750000000,    0.01406250000000,    2.02595437952171,    0.00000000000000,    2.02595437952171,   -0.00000605978317,   -0.00000000000000,   -0.00001227684425,    2.02290293893312,    0.00000000000000,    2.02290293893312,   41.53806397814665,    0.00000000000000,
    5,    1,    0.01406250000000,    0.00156250000000,    2.03248475191039,    0.00000000000000,    2.03248475191039,   -0.00000614246757,   -0.00000000000000,   -0.00001248447167,    2.02944285141804,    0.00000000000000,    2.02944285141804,   41.65628251878788,    0.00000000000000,
    5,    2,    0.01406250000000,    0.00468750000000,    2.03248475191039,    0.00000000000000,    2.03248475191039,   -0.00000614246757,   -0.00000000000000,   -0.00001248447167,    2.02944285141804,    0.00000000000000,    2.02944285141804,   41.65628251878788,    0.00000000000000,
    5,    3,    0.01406250000000,    0.00781250000000,    2.03248475191039,    0.00000000000000,    2.03248475191039,   -0.00000614246757,   -0.00000000000000,   -0.00001248447167,    2.02944285141804,    0.00000000000000,    2.02944285141804,   41.65628251878788,    0.00000000000000,
    5,    4,    0.01406250000000,    0.01093750000000,    2.03248475191039,    0.00000000000000,    2.03248475191039,   -0.00000614246757,   -0.00000000000000,   -0.00001248447167,    2.02944285141804,    0.00000000000000,    2.02944285141804,   41.65628251878788,    0.00000000000000,
    5,    5,    0.01406250000000,    0.01406250000000,    2.03248475191039,    0.00000000000000,    2.03248475191039,   -0.00000614246757,   -0.00000000000000,   -0.00001248447167,    2.02944285141804,    0.00000000000000,    2.02944285141804,   41.65628251878788,    0.00000000000000,
    6,    1,    0.01718750000000,    0.00156250000000,    2.03901235357073,    0.00000000000000,    2.03901235357073,   -0.00000622340514,   -0.00000000000000,   -0.00001268959997,    2.03597992613967,    0.00000000000000,    2.03597992613967,   41.77031140230221,    0.00000000000000,
    6,    2,    0.01718750000000,    0.00468750000000,    2.03901235357073,    0.00000000000000,    2.03901235357073,   -0.00000622340514,   -0.00000000000000,   -0.00001268959997,    2.03597992613967,    0.00000000000000,    2.03597992613967,   41.77031140230221,    0.00000000000000,
    6,    3,    0.01718750000000,    0.00781250000000,    2.03901235357073,    0.00000000000000,    2.03901235357073,   -0.00000622340514,   -0.00000000000000,   -0.00001268959997,    2.03597992613967,    0.00000000000000,    2.03597992613967,   41.77031140230221,    0.00000000000000,
    6,    4,    0.01718750000000,    0.01093750000000,    2.03901235357073,    0.00000000000000,    2.03901235357073,   -0.00000622340514,   -0.00000000000000,   -0.00001268959997,    2.03597992613967,    0.00000000000000,    2.03597992613967,   41.77031140230221,    0.00000000000000,
    6,    5,    0.01718750000000,    0.01406250000000,    2.03901235357073,    0.00000000000000,    2.03901235357073,   -0.00000622340514,   -0.00000000000000,   -0.00001268959997,    2.03597992613967,    0.00000000000000,    2.03597992613967,   41.77031140230221,    0.00000000000000,
    7,    1,    0.02031250000000,    0.00156250000000,    2.04553655464312,    0.00000000000000,    2.04553655464312,   -0.00000630257631,   -0.00000000000000,   -0.00001289215022,    2.04251353304112,    0.00000000000000,    2.04251353304112,   41.88010094497433,    0.00000000000000,
    7,    2,    0.02031250000000,    0.00468750000000,    2.04553655464312,    0.00000000000000,    2.04553655464312,   -0.00000630257631,   -0.00000000000000,   -0.00001289215022,    2.04251353304112,    0.00000000000000,    2.04251353304112,   41.88010094497433,    0.00000000000000,
    7,    3,    0.02031250000000,    0.00781250000000,    2.04553655464312,    0.00000000000000,    2.04553655464312,   -0.00000630257631,   -0.00000000000000,   -0.00001289215022,    2.04251353304112,    0.00000000000000,    2.04251353304112,   41.88010094497433,    0.00000000000000,
    7,    4,    0.02031250000000,    0.01093750000000,    2.04553655464312,    0.00000000000000,    2.04553655464312,   -0.00000630257631,   -0.00000000000000,   -0.00001289215022,    2.04251353304112,    0.00000000000000,    2.04251353304112,   41.88010094497433,    0.00000000000000,
    7,    5,    0.02031250000000,    0.01406250000000,    2.04553655464312,    0.00000000000000,    2.04553655464312,   -0.00000630257631,   -0.00000000000000,   -0.00001289215022,    2.04251353304112,    0.00000000000000,    2.04251353304112,   41.88010094497433,    0.00000000000000,
    8,    1,    0.02343750000000,    0.00156250000000,    2.05205672558754,    0.00000000000000,    2.05205672558754,   -0.00000637996245,   -0.00000000000000,   -0.00001309204486,    2.04904304239978,    0.00000000000000,    2.04904304239978,   41.98560195396731,    0.00000000000000,
