dx,L1_h,L1_u,L2_h,L2_u,order_L1_h,order_L1_u,order_L2_h,order_L2_u
0.1,0.10428964336015699,3.0100137199999996e-07,0.106696212940297,3.4683533698164244e-07,,,,
0.05,0.05230606381856697,9.848857442499997e-07,0.053680335187395976,1.1294312440632238e-06,0.9955457837000898,-1.710186305487323,0.9910433852001848,-1.70327364828721
0.025,0.02617321050604571,2.475249516125e-06,0.02690716420930243,2.971666468628117e-06,0.9988873054291587,-1.3295456890036514,0.9964033289874176,-1.3956757539528744
0.0125,0.013089128307089679,4.512197548875e-06,0.013464085876989204,5.413370011438686e-06,0.9997218799929322,-0.866256269285315,0.9988740673194919,-0.8652548006691778
0.00625,0.006544879558146942,1.9009501500000001e-06,0.006737787805742052,2.3209883813658894e-06,0.999930473339366,1.2471095322242902,0.9987693843896968,1.2217877009394689
0.003125,0.0032724792054376482,4.142019109109375e-06,0.003365822059673035,4.790816701991427e-06,0.9999826185105686,-1.123613509774057,1.0013160861661021,-1.045532315889561
