x (nodes),y (nodes),x (m),y (m),h + zb (m),zb (m),h (m),u (m/s),v (m/s), q (m^2/s), h analytical (m), u analytical (m/s), h analytical + zb (m) , Fx (m^2/s^2), Fy (m^2/s^2)
    1,    1,    0.00625000000000,    0.00625000000000,    2.02535550818577,    0.00000000000000,    2.02535550818577,    0.00000019170014,   -0.00000000000000,    0.00000038826094,    2.01308912830709,    0.00000000000000,    2.01308912830709,   41.35299039785988,    0.00000000000000,
    1,    2,    0.00625000000000,    0.01875000000000,    2.02535550818577,    0.00000000000000,    2.02535550818577,    0.00000019170014,   -0.00000000000000,    0.00000038826094,    2.01308912830709,    0.00000000000000,    2.01308912830709,   41.35299039785988,    0.00000000000000,
    1,    3,    0.00625000000000,    0.03125000000000,    2.02535550818577,    0.00000000000000,    2.02535550818577,    0.00000019170014,   -0.00000000000000,    0.00000038826094,    2.01308912830709,    0.00000000000000,    2.01308912830709,   41.35299039785988,    0.00000000000000,
    1,    4,    0.00625000000000,    0.04375000000000,    2.02535550818577,    0.00000000000000,    2.02535550818577,    0.00000019170014,   -0.00000000000000,    0.00000038826094,    2.01308912830709,    0.00000000000000,    2.01308912830709,   41.35299039785988,    0.00000000000000,
    1,    5,    0.00625000000000,    0.05625000000000,    2.02535550818577,    0.00000000000000,    2.02535550818577,    0.00000019170014,   -0.00000000000000,    0.00000038826094,    2.01308912830709,    0.00000000000000,    2.01308912830709,   41.35299039785988,    0.00000000000000,
    2,    1,    0.01875000000000,    0.00625000000000,    2.05135995768040,    0.00000000000000,    2.05135995768040,   -0.00000029931531,   -0.00000000000000,   -0.00000061400344,    2.03924720243413,    0.00000000000000,    2.03924720243413,   41.82573917753121,    0.00000000000000,
    2,    2,    0.01875000000000,    0.01875000000000,    2.05135995768040,    0.00000000000000,    2.05135995768040,   -0.00000029931531,   -0.00000000000000,   -0.00000061400344,    2.03924720243413,    0.00000000000000,    2.03924720243413,   41.82573917753121,    0.00000000000000,
    2,    3,    0.01875000000000,    0.03125000000000,    2.05135995768040,    0.00000000000000,    2.05135995768040,   -0.00000029931531,   -0.00000000000000,   -0.00000061400344,    2.03924720243413,    0.00000000000000,    2.03924720243413,   41.82573917753121,    0.00000000000000,
    2,    4,    0.01875000000000,    0.04375000000000,    2.05135995768040,    0.00000000000000,    2.05135995768040,   -0.00000029931531,   -0.00000000000000,   -0.00000061400344,    2.03924720243413,    0.00000000000000,    2.03924720243413,   41.82573917753121,    0.00000000000000,
    2,    5,    0.01875000000000,    0.05625000000000,    2.05135995768040,    0.00000000000000,    2.05135995768040,   -0.00000029931531,   -0.00000000000000,   -0.00000061400344,    2.03924720243413,    0.00000000000000,    2.03924720243413,   41.82573917753121,    0.00000000000000,
    3,    1,    0.03125000000000,    0.00625000000000,    2.07730820249000,    0.00000000000000,    2.07730820249000,   -0.00000076628347,   -0.00000000000000,   -0.00000159180694,    2.06534476021971,    0.00000000000000,    2.06534476021971,   42.23027397299441,    0.00000000000000,
    3,    2,    0.03125000000000,    0.01875000000000,    2.07730820249000,    0.00000000000000,    2.07730820249000,   -0.00000076628347,   -0.00000000000000,   -0.00000159180694,    2.06534476021971,    0.00000000000000,    2.06534476021971,   42.23027397299441,    0.00000000000000,
    3,    3,    0.03125000000000,    0.03125000000000,    2.07730820249000,    0.00000000000000,    2.07730820249000,   -0.00000076628347,   -0.00000000000000,   -0.00000159180694,    2.06534476021971,    0.00000000000000,    2.06534476021971,   42.23027397299441,    0.00000000000000,
    3,    4,    0.03125000000000,    0.04375000000000,    2.07730820249000,    0.00000000000000,    2.07730820249000,   -0.00000076628347,   -0.00000000000000,   -0.00000159180694,    2.06534476021971,    0.00000000000000,    2.06534476021971,   42.23027397299441,    0.00000000000000,
    3,    5,    0.03125000000000,    0.05625000000000,    2.07730820249000,    0.00000000000000,    2.07730820249000,   -0.00000076628347,   -0.00000000000000,   -0.00000159180694,    2.06534476021971,    0.00000000000000,    2.06534476021971,   42.23027397299441,    0.00000000000000,
    4,    1,    0.04375000000000,    0.00625000000000,    2.10316004883416,    0.00000000000000,    2.10316004883416,   -0.00000120737712,   -0.00000000000000,   -0.00000253930732,    2.09134156112131,    0.00000000000000,    2.09134156112131,   42.56351537070696,    0.00000000000000,
    4,    2,    0.04375000000000,    0.01875000000000,    2.10316004883416,    0.00000000000000,    2.10316004883416,   -0.00000120737712,   -0.00000000000000,   -0.00000253930732,    2.09134156112131,    0.00000000000000,    2.09134156112131,   42.56351537070696,    0.00000000000000,
    4,    3,    0.04375000000000,    0.03125000000000,    2.10316004883416,    0.00000000000000,    2.10316004883416,   -0.00000120737712,   -0.00000000000000,   -0.00000253930732,    2.09134156112131,    0.00000000000000,    2.09134156112131,   42.56351537070696,    0.00000000000000,
    4,    4,    0.04375000000000,    0.04375000000000,    2.10316004883416,    0.00000000000000,    2.10316004883416,   -0.00000120737712,   -0.00000000000000,   -0.00000253930732,    2.09134156112131,    0.00000000000000,    2.09134156112131,   42.56351537070696,    0.00000000000000,
    4,    5,    0.04375000000000,    0.05625000000000,    2.10316004883416,    0.00000000000000,    2.10316004883416,   -0.00000120737712,   -0.00000000000000,   -0.00000253930732,    2.09134156112131,    0.00000000000000,    2.09134156112131,   42.56351537070696,    0.00000000000000,
    5,    1,    0.05625000000000,    0.00625000000000,    2.12887544464270,    0.00000000000000,    2.12887544464270,   -0.00000162105963,   -0.00000000000000,   -0.00000345103405,    2.11719751995624,    0.00000000000000,    2.11719751995624,   42.82253197195666,    0.00000000000000,
    5,    2,    0.05625000000000,    0.01875000000000,    2.12887544464270,    0.00000000000000,    2.12887544464270,   -0.00000162105963,   -0.00000000000000,   -0.00000345103405,    2.11719751995624,    0.00000000000000,    2.11719751995624,   42.82253197195666,    0.00000000000000,
    5,    3,    0.05625000000000,    0.03125000000000,    2.12887544464270,    0.00000000000000,    2.12887544464270,   -0.00000162105963,   -0.00000000000000,   -0.00000345103405,    2.11719751995624,    0.00000000000000,    2.11719751995624,   42.82253197195666,    0.00000000000000,
    5,    4,    0.05625000000000,    0.04375000000000,    2.12887544464270,    0.00000000000000,    2.12887544464270,   -0.00000162105963,   -0.00000000000000,   -0.00000345103405,    2.11719751995624,    0.00000000000000,    2.11719751995624,   42.82253197195666,    0.00000000000000,
    5,    5,    0.05625000000000,    0.05625000000000,    2.12887544464270,    0.00000000000000,    2.12887544464270,   -0.00000162105963,   -0.00000000000000,   -0.00000345103405,    2.11719751995624,    0.00000000000000,    2.11719751995624,   42.82253197195666,    0.00000000000000,
    6,    1,    0.06875000000000,    0.00625000000000,    2.15441454278111,    0.00000000000000,    2.15441454278111,   -0.00000200607464,   -0.00000000000000,   -0.00000432191638,    2.14287276871003,    0.00000000000000,    2.14287276871003,   43.00455981795587,    0.00000000000000,
    6,    2,    0.06875000000000,    0.01875000000000,    2.15441454278111,    0.00000000000000,    2.15441454278111,   -0.00000200607464,   -0.00000000000000,   -0.00000432191638,    2.14287276871003,    0.00000000000000,    2.14287276871003,   43.00455981795587,    0.00000000000000,
    6,    3,    0.06875000000000,    0.03125000000000,    2.15441454278111,    0.00000000000000,    2.15441454278111,   -0.00000200607464,   -0.00000000000000,   -0.00000432191638,    2.14287276871003,    0.00000000000000,    2.14287276871003,   43.00455981795587,    0.00000000000000,
    6,    4,    0.06875000000000,    0.04375000000000,    2.15441454278111,    0.00000000000000,    2.15441454278111,   -0.00000200607464,   -0.00000000000000,   -0.00000432191638,    2.14287276871003,    0.00000000000000,    2.14287276871003,   43.00455981795587,    0.00000000000000,
    6,    5,    0.06875000000000,    0.05625000000000,    2.15441454278111,    0.00000000000000,    2.15441454278111,   -0.00000200607464,   -0.00000000000000,   -0.00000432191638,    2.14287276871003,    0.00000000000000,    2.14287276871003,   43.00455981795587,    0.00000000000000,
    7,    1,    0.08125000000000,    0.00625000000000,    2.17973776386055,    0.00000000000000,    2.17973776386055,   -0.00000236143350,   -0.00000000000000,   -0.00000514730578,    2.16832771801011,    0.00000000000000,    2.16832771801011,   43.10702123005034,    0.00000000000000,
    7,    2,    0.08125000000000,    0.01875000000000,    2.17973776386055,    0.00000000000000,    2.17973776386055,   -0.00000236143350,   -0.00000000000000,   -0.00000514730578,    2.16832771801011,    0.00000000000000,    2.16832771801011,   43.10702123005034,    0.00000000000000,
    7,    3,    0.08125000000000,    0.03125000000000,    2.17973776386055,    0.00000000000000,    2.17973776386055,   -0.00000236143350,   -0.00000000000000,   -0.00000514730578,    2.16832771801011,    0.00000000000000,    2.16832771801011,   43.10702123005034,    0.00000000000000,
