dx,L1_h,L1_u,L2_h,L2_u,order_L1_h,order_L1_u,order_L2_h,order_L2_u
0.1,0.196016915214267,0.0102922711563515,0.2122922858184683,0.010496821222153854,,,,
0.05,0.09428978894125224,0.007027768521682001,0.10315535404325521,0.00719877617074126,1.0558047079613921,0.5504227931636957,1.0412332452310702,0.5441289323110926
0.025,0.04230606836800398,0.005601562567224749,0.04712532293266688,0.00575388838208296,1.1562369256529752,0.3272373471003905,1.1302442931703722,0.3232144268169082
0.0125,0.016173210627489023,0.004656270351529251,0.0189904716695995,0.004790498577035599,1.3872585137937754,0.26665449983848033,1.3112267662822221,0.26436142091216513
0.00625,0.004721617982774507,0.004276245332759,0.0056005132558891975,0.004403168032369214,1.7762528784185145,0.12283020179018452,1.761644785078697,0.12163391301962945
0.003125,0.0034789508568960816,0.0040850544009768276,0.004256484814429058,0.004208161031800005,0.44062902072543036,0.06598933340982706,0.39589656476776197,0.06535198837107188
