x (nodes),y (nodes),x (m),y (m),h + zb (m),zb (m),h (m),u (m/s),v (m/s), q (m^2/s), h analytical (m), u analytical (m/s), h analytical + zb (m) , Fx (m^2/s^2), Fy (m^2/s^2)
    1,    1,    0.01250000000000,    0.01250000000000,    2.05056131721295,    0.00000000000000,    2.05056131721295,    0.00000023343918,   -0.00000000000000,    0.00000047868136,    2.02617321050605,    0.00000000000000,    2.02617321050605,   41.59769383173931,    0.00000000000000,
    1,    2,    0.01250000000000,    0.03750000000000,    2.05056131721295,    0.00000000000000,    2.05056131721295,    0.00000023343918,   -0.00000000000000,    0.00000047868136,    2.02617321050605,    0.00000000000000,    2.02617321050605,   41.59769383173931,    0.00000000000000,
    1,    3,    0.01250000000000,    0.06250000000000,    2.05056131721295,    0.00000000000000,    2.05056131721295,    0.00000023343918,   -0.00000000000000,    0.00000047868136,    2.02617321050605,    0.00000000000000,    2.02617321050605,   41.59769383173931,    0.00000000000000,
    1,    4,    0.01250000000000,    0.08750000000000,    2.05056131721295,    0.00000000000000,    2.05056131721295,    0.00000023343918,   -0.00000000000000,    0.00000047868136,    2.02617321050605,    0.00000000000000,    2.02617321050605,   41.59769383173931,    0.00000000000000,
    1,    5,    0.01250000000000,    0.11250000000000,    2.05056131721295,    0.00000000000000,    2.05056131721295,    0.00000023343918,   -0.00000000000000,    0.00000047868136,    2.02617321050605,    0.00000000000000,    2.02617321050605,   41.59769383173931,    0.00000000000000,
    2,    1,    0.03750000000000,    0.01250000000000,    2.10215519431732,    0.00000000000000,    2.10215519431732,    0.00000020746239,    0.00000000000000,    0.00000043611813,    2.07835826497189,    0.00000000000000,    2.07835826497189,   42.40599325828556,    0.00000000000000,
    2,    2,    0.03750000000000,    0.03750000000000,    2.10215519431732,    0.00000000000000,    2.10215519431732,    0.00000020746239,    0.00000000000000,    0.00000043611813,    2.07835826497189,    0.00000000000000,    2.07835826497189,   42.40599325828556,    0.00000000000000,
    2,    3,    0.03750000000000,    0.06250000000000,    2.10215519431732,    0.00000000000000,    2.10215519431732,    0.00000020746239,    0.00000000000000,    0.00000043611813,    2.07835826497189,    0.00000000000000,    2.07835826497189,   42.40599325828556,    0.00000000000000,
    2,    4,    0.03750000000000,    0.08750000000000,    2.10215519431732,    0.00000000000000,    2.10215519431732,    0.00000020746239,    0.00000000000000,    0.00000043611813,    2.07835826497189,    0.00000000000000,    2.07835826497189,   42.40599325828556,    0.00000000000000,
    2,    5,    0.03750000000000,    0.11250000000000,    2.10215519431732,    0.00000000000000,    2.10215519431732,    0.00000020746239,    0.00000000000000,    0.00000043611813,    2.07835826497189,    0.00000000000000,    2.07835826497189,   42.40599325828556,    0.00000000000000,
    3,    1,    0.06250000000000,    0.01250000000000,    2.15330082038523,    0.00000000000000,    2.15330082038523,    0.00000018302685,    0.00000000000000,    0.00000039411188,    2.13006021467742,    0.00000000000000,    2.13006021467742,   42.92333517647729,    0.00000000000000,
    3,    2,    0.06250000000000,    0.03750000000000,    2.15330082038523,    0.00000000000000,    2.15330082038523,    0.00000018302685,    0.00000000000000,    0.00000039411188,    2.13006021467742,    0.00000000000000,    2.13006021467742,   42.92333517647729,    0.00000000000000,
    3,    3,    0.06250000000000,    0.06250000000000,    2.15330082038523,    0.00000000000000,    2.15330082038523,    0.00000018302685,    0.00000000000000,    0.00000039411188,    2.13006021467742,    0.00000000000000,    2.13006021467742,   42.92333517647729,    0.00000000000000,
    3,    4,    0.06250000000000,    0.08750000000000,    2.15330082038523,    0.00000000000000,    2.15330082038523,    0.00000018302685,    0.00000000000000,    0.00000039411188,    2.13006021467742,    0.00000000000000,    2.13006021467742,   42.92333517647729,    0.00000000000000,
    3,    5,    0.06250000000000,    0.11250000000000,    2.15330082038523,    0.00000000000000,    2.15330082038523,    0.00000018302685,    0.00000000000000,    0.00000039411188,    2.13006021467742,    0.00000000000000,    2.13006021467742,   42.92333517647729,    0.00000000000000,
    4,    1,    0.08750000000000,    0.01250000000000,    2.20367979254443,    0.00000000000000,    2.20367979254443,    0.00000016032278,    0.00000000000000,    0.00000035330006,    2.18096029991005,    0.00000000000000,    2.18096029991005,   43.12766441433456,    0.00000000000000,
    4,    2,    0.08750000000000,    0.03750000000000,    2.20367979254443,    0.00000000000000,    2.20367979254443,    0.00000016032278,    0.00000000000000,    0.00000035330006,    2.18096029991005,    0.00000000000000,    2.18096029991005,   43.12766441433456,    0.00000000000000,
    4,    3,    0.08750000000000,    0.06250000000000,    2.20367979254443,    0.00000000000000,    2.20367979254443,    0.00000016032278,    0.00000000000000,    0.00000035330006,    2.18096029991005,    0.00000000000000,    2.18096029991005,   43.12766441433456,    0.00000000000000,
    4,    4,    0.08750000000000,    0.08750000000000,    2.20367979254443,    0.00000000000000,    2.20367979254443,    0.00000016032278,    0.00000000000000,    0.00000035330006,    2.18096029991005,    0.00000000000000,    2.18096029991005,   43.12766441433456,    0.00000000000000,
    4,    5,    0.08750000000000,    0.11250000000000,    2.20367979254443,    0.00000000000000,    2.20367979254443,    0.00000016032278,    0.00000000000000,    0.00000035330006,    2.18096029991005,    0.00000000000000,    2.18096029991005,   43.12766441433456,    0.00000000000000,
    5,    1,    0.11250000000000,    0.01250000000000,    2.25297831223483,    0.00000000000000,    2.25297831223483,    0.00000013945859,    0.00000000000000,    0.00000031419718,    2.23074470471833,    0.00000000000000,    2.23074470471833,   43.00004680593045,    0.00000000000000,
    5,    2,    0.11250000000000,    0.03750000000000,    2.25297831223483,    0.00000000000000,    2.25297831223483,    0.00000013945859,    0.00000000000000,    0.00000031419718,    2.23074470471833,    0.00000000000000,    2.23074470471833,   43.00004680593045,    0.00000000000000,
    5,    3,    0.11250000000000,    0.06250000000000,    2.25297831223483,    0.00000000000000,    2.25297831223483,    0.00000013945859,    0.00000000000000,    0.00000031419718,    2.23074470471833,    0.00000000000000,    2.23074470471833,   43.00004680593045,    0.00000000000000,
    5,    4,    0.11250000000000,    0.08750000000000,    2.25297831223483,    0.00000000000000,    2.25297831223483,    0.00000013945859,    0.00000000000000,    0.00000031419718,    2.23074470471833,    0.00000000000000,    2.23074470471833,   43.00004680593045,    0.00000000000000,
    5,    5,    0.11250000000000,    0.11250000000000,    2.25297831223483,    0.00000000000000,    2.25297831223483,    0.00000013945859,    0.00000000000000,    0.00000031419718,    2.23074470471833,    0.00000000000000,    2.23074470471833,   43.00004680593045,    0.00000000000000,
    6,    1,    0.13750000000000,    0.01250000000000,    2.30088919488644,    0.00000000000000,    2.30088919488644,    0.00000012047552,   -0.00000000000000,    0.00000027720082,    2.27910649169162,    0.00000000000000,    2.27910649169162,   42.52522112940878,    0.00000000000000,
    6,    2,    0.13750000000000,    0.03750000000000,    2.30088919488644,    0.00000000000000,    2.30088919488644,    0.00000012047552,   -0.00000000000000,    0.00000027720082,    2.27910649169162,    0.00000000000000,    2.27910649169162,   42.52522112940878,    0.00000000000000,
    6,    3,    0.13750000000000,    0.06250000000000,    2.30088919488644,    0.00000000000000,    2.30088919488644,    0.00000012047552,   -0.00000000000000,    0.00000027720082,    2.27910649169162,    0.00000000000000,    2.27910649169162,   42.52522112940878,    0.00000000000000,
    6,    4,    0.13750000000000,    0.08750000000000,    2.30088919488644,    0.00000000000000,    2.30088919488644,    0.00000012047552,   -0.00000000000000,    0.00000027720082,    2.27910649169162,    0.00000000000000,    2.27910649169162,   42.52522112940878,    0.00000000000000,
    6,    5,    0.13750000000000,    0.11250000000000,    2.30088919488644,    0.00000000000000,    2.30088919488644,    0.00000012047552,   -0.00000000000000,    0.00000027720082,    2.27910649169162,    0.00000000000000,    2.27910649169162,   42.52522112940878,    0.00000000000000,
    7,    1,    0.16250000000000,    0.01250000000000,    2.34711382754413,    0.00000000000000,    2.34711382754413,    0.00000010336098,   -0.00000000000000,    0.00000024259998,    2.32574749433130,    0.00000000000000,    2.32574749433130,   41.69208835317315,    0.00000000000000,
    7,    2,    0.16250000000000,    0.03750000000000,    2.34711382754413,    0.00000000000000,    2.34711382754413,    0.00000010336098,   -0.00000000000000,    0.00000024259998,    2.32574749433130,    0.00000000000000,    2.32574749433130,   41.69208835317315,    0.00000000000000,
    7,    3,    0.16250000000000,    0.06250000000000,    2.34711382754413,    0.00000000000000,    2.34711382754413,    0.00000010336098,   -0.00000000000000,    0.00000024259998,    2.32574749433130,    0.00000000000000,    2.32574749433130,   41.69208835317315,    0.00000000000000,
    7,    4,    0.16250000000000,    0.08750000000000,    2.34711382754413,    0.00000000000000,    2.34711382754413,    0.00000010336098,   -0.00000000000000,    0.00000024259998,    2.32574749433130,    0.00000000000000,    2.32574749433130,   41.69208835317315,    0.00000000000000,
    7,    5,    0.16250000000000,    0.11250000000000,    2.34711382754413,    0.00000000000000,    2.34711382754413,    0.00000010336098,   -0.00000000000000,    0.00000024259998,    2.32574749433130,    0.00000000000000,    2.32574749433130,   41.69208835317315,    0.00000000000000,
    8,    1,    0.18750000000000,    0.01250000000000,    2.39136406322914,    0.00000000000000,    2.39136406322914,    0.00000008806047,   -0.00000000000000,    0.00000021058465,    2.37038015534640,    0.00000000000000,    2.37038015534640,   40.49412544383733,    0.00000000000000,
    8,    2,    0.18750000000000,    0.03750000000000,    2.39136406322914,    0.00000000000000,    2.39136406322914,    0.00000008806047,   -0.00000000000000,    0.00000021058465,    2.37038015534640,    0.00000000000000,    2.37038015534640,   40.49412544383733,    0.00000000000000,
    8,    3,    0.18750000000000,    0.06250000000000,    2.39136406322914,    0.00000000000000,    2.39136406322914,    0.00000008806047,   -0.00000000000000,    0.00000021058465,    2.37038015534640,    0.00000000000000,    2.37038015534640,   40.49412544383733,    0.00000000000000,
    8,    4,    0.18750000000000,    0.08750000000000,    2.39136406322914,    0.00000000000000,    2.39136406322914,    0.00000008806047,   -0.00000000000000,    0.00000021058465,    2.37038015534640,    0.00000000000000,    2.37038015534640,   40.49412544383733,    0.00000000000000,
    8,    5,    0.18750000000000,    0.11250000000000,    2.39136406322914,    0.00000000000000,    2.39136406322914,    0.00000008806047,   -0.00000000000000,    0.00000021058465,    2.37038015534640,    0.00000000000000,    2.37038015534640,   40.49412544383733,    0.00000000000000,
    9,    1,    0.21250000000000,    0.01250000000000,    2.43336404141657,    0.00000000000000,    2.43336404141657,    0.00000007448786,   -0.00000000000000,    0.00000018125608,    2.41272929953989,    0.00000000000000,    2.41272929953989,   38.92971268030296,    0.00000000000000,
    9,    2,    0.21250000000000,    0.03750000000000,    2.43336404141657,    0.00000000000000,    2.43336404141657,    0.00000007448786,   -0.00000000000000,    0.00000018125608,    2.41272929953989,    0.00000000000000,    2.41272929953989,   38.92971268030296,    0.00000000000000,
    9,    3,    0.21250000000000,    0.06250000000000,    2.43336404141657,    0.00000000000000,    2.43336404141657,    0.00000007448786,   -0.00000000000000,    0.00000018125608,    2.41272929953989,    0.00000000000000,    2.41272929953989,   38.92971268030296,    0.00000000000000,
    9,    4,    0.21250000000000,    0.08750000000000,    2.43336404141657,    0.00000000000000,    2.43336404141657,    0.00000007448786,   -0.00000000000000,    0.00000018125608,    2.41272929953989,    0.00000000000000,    2.41272929953989,   38.92971268030296,    0.00000000000000,
    9,    5,    0.21250000000000,    0.11250000000000,    2.43336404141657,    0.00000000000000,    2.43336404141657,    0.00000007448786,   -0.00000000000000,    0.00000018125608,    2.41272929953989,    0.00000000000000,    2.41272929953989,   38.92971268030296,    0.00000000000000,
   10,    1,    0.23750000000000,    0.01250000000000,    2.47285192454570,    0.00000000000000,    2.47285192454570,    0.00000006253391,   -0.00000000000000,    0.00000015463711,    2.45253383035529,    0.00000000000000,    2.45253383035529,   37.00236538667328,    0.00000000000000,
   10,    2,    0.23750000000000,    0.03750000000000,    2.47285192454570,    0.00000000000000,    2.47285192454570,    0.00000006253391,   -0.00000000000000,    0.00000015463711,    2.45253383035529,    0.00000000000000,    2.45253383035529,   37.00236538667328,    0.00000000000000,
   10,    3,    0.23750000000000,    0.06250000000000,    2.47285192454570,    0.00000000000000,    2.47285192454570,    0.00000006253391,   -0.00000000000000,    0.00000015463711,    2.45253383035529,    0.00000000000000,    2.45253383035529,   37.00236538667328,    0.00000000000000,
   10,    4,    0.23750000000000,    0.08750000000000,    2.47285192454570,    0.00000000000000,    2.47285192454570,    0.00000006253391,   -0.00000000000000,    0.00000015463711,    2.45253383035529,    0.00000000000000,    2.45253383035529,   37.00236538667328,    0.00000000000000,
   10,    5,    0.23750000000000,    0.11250000000000,    2.47285192454570,    0.00000000000000,    2.47285192454570,    0.00000006253391,   -0.00000000000000,    0.00000015463711,    2.45253383035529,    0.00000000000000,    2.45253383035529,   37.00236538667328,    0.00000000000000,
   11,    1,    0.26250000000000,    0.01250000000000,    2.50958154099811,    0.00000000000000,    2.50958154099811,    0.00000005207329,   -0.00000000000000,    0.00000013068217,    2.48954833962379,    0.00000000000000,    2.48954833962379,   34.72086319515044,    0.00000000000000,
   11,    2,    0.26250000000000,    0.03750000000000,    2.50958154099811,    0.00000000000000,    2.50958154099811,    0.00000005207329,   -0.00000000000000,    0.00000013068217,    2.48954833962379,    0.00000000000000,    2.48954833962379,   34.72086319515044,    0.00000000000000,
   11,    3,    0.26250000000000,    0.06250000000000,    2.50958154099811,    0.00000000000000,    2.50958154099811,    0.00000005207329,   -0.00000000000000,    0.00000013068217,    2.48954833962379,    0.00000000000000,    2.48954833962379,   34.72086319515044,    0.00000000000000,
   11,    4,    0.26250000000000,    0.08750000000000,    2.50958154099811,    0.00000000000000,    2.50958154099811,    0.00000005207329,   -0.00000000000000,    0.00000013068217,    2.48954833962379,    0.00000000000000,    2.48954833962379,   34.72086319515044,    0.00000000000000,
   11,    5,    0.26250000000000,    0.11250000000000,    2.50958154099811,    0.00000000000000,    2.50958154099811,    0.00000005207329,   -0.00000000000000,    0.00000013068217,    2.48954833962379,    0.00000000000000,    2.48954833962379,   34.72086319515044,    0.00000000000000,
   12,    1,    0.28750000000000,    0.01250000000000,    2.54332392550165,    0.00000000000000,    2.54332392550165,    0.00000004297008,   -0.00000000000000,    0.00000010928683,    2.52354462058716,    0.00000000000000,    2.52354462058716,   32.09927232542168,    0.00000000000000,
   12,    2,    0.28750000000000,    0.03750000000000,    2.54332392550165,    0.00000000000000,    2.54332392550165,    0.00000004297008,   -0.00000000000000,    0.00000010928683,    2.52354462058716,    0.00000000000000,    2.52354462058716,   32.09927232542168,    0.00000000000000,
   12,    3,    0.28750000000000,    0.06250000000000,    2.54332392550165,    0.00000000000000,    2.54332392550165,    0.00000004297008,   -0.00000000000000,    0.00000010928683,    2.52354462058716,    0.00000000000000,    2.52354462058716,   32.09927232542168,    0.00000000000000,
   12,    4,    0.28750000000000,    0.08750000000000,    2.54332392550165,    0.00000000000000,    2.54332392550165,    0.00000004297008,   -0.00000000000000,    0.00000010928683,    2.52354462058716,    0.00000000000000,    2.52354462058716,   32.09927232542168,    0.00000000000000,
   12,    5,    0.28750000000000,    0.11250000000000,    2.54332392550165,    0.00000000000000,    2.54332392550165,    0.00000004297008,   -0.00000000000000,    0.00000010928683,    2.52354462058716,    0.00000000000000,    2.52354462058716,   32.09927232542168,    0.00000000000000,
   13,    1,    0.31250000000000,    0.01250000000000,    2.57386874846363,    0.00000000000000,    2.57386874846363,    0.00000003508202,   -0.00000000000000,    0.00000009029651,    2.55431307486836,    0.00000000000000,    2.55431307486836,   29.15685886173734,    0.00000000000000,
   13,    2,    0.31250000000000,    0.03750000000000,    2.57386874846363,    0.00000000000000,    2.57386874846363,    0.00000003508202,   -0.00000000000000,    0.00000009029651,    2.55431307486836,    0.00000000000000,    2.55431307486836,   29.15685886173734,    0.00000000000000,
   13,    3,    0.31250000000000,    0.06250000000000,    2.57386874846363,    0.00000000000000,    2.57386874846363,    0.00000003508202,   -0.00000000000000,    0.00000009029651,    2.55431307486836,    0.00000000000000,    2.55431307486836,   29.15685886173734,    0.00000000000000,
   13,    4,    0.31250000000000,    0.08750000000000,    2.57386874846363,    0.00000000000000,    2.57386874846363,    0.00000003508202,   -0.00000000000000,    0.00000009029651,    2.55431307486836,    0.00000000000000,    2.55431307486836,   29.15685886173734,    0.00000000000000,
   13,    5,    0.31250000000000,    0.11250000000000,    2.57386874846363,    0.00000000000000,    2.57386874846363,    0.00000003508202,   -0.00000000000000,    0.00000009029651,    2.55431307486836,    0.00000000000000,    2.55431307486836,   29.15685886173734,    0.00000000000000,
