x (nodes),y (nodes),x (m),y (m),h + zb (m),zb (m),h (m),u (m/s),v (m/s), q (m^2/s), h analytical (m), u analytical (m/s), h analytical + zb (m)
    1,   43,      0.0033,      0.2835,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   44,      0.0033,      0.2901,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   45,      0.0033,      0.2968,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   46,      0.0033,      0.3035,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   47,      0.0033,      0.3102,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   48,      0.0033,      0.3168,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   49,      0.0033,      0.3235,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   50,      0.0033,      0.3302,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   51,      0.0033,      0.3368,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   52,      0.0033,      0.3435,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   53,      0.0033,      0.3502,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   54,      0.0033,      0.3568,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   55,      0.0033,      0.3635,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   56,      0.0033,      0.3702,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   57,      0.0033,      0.3769,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   58,      0.0033,      0.3835,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   59,      0.0033,      0.3902,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   60,      0.0033,      0.3969,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   61,      0.0033,      0.4035,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   62,      0.0033,      0.4102,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   63,      0.0033,      0.4169,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,   64,      0.0033,      0.4235,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
