x (nodes),y (nodes),x (m),y (m),h + zb (m),zb (m),h (m),u (m/s),v (m/s), q (m^2/s), h analytical (m), u analytical (m/s), h analytical + zb (m) , Fx MMS, Fy MMS
    1,    1, 0.00156250000000, 0.00156250000000, 1.99690108356181, 0.00000012047833, 1.99690096308349, 0.00381208234012, 0.00000000000000, 0.00761235089634, 2.00327247920533, 0.00000000000000, 2.00327259968366,41.16180478872595,    0.00000000000000,
    1,    2, 0.00156250000000, 0.00468750000000, 1.99690108356181, 0.00000012047833, 1.99690096308349, 0.00381208234012, 0.00000000000000, 0.00761235089634, 2.00327247920533, 0.00000000000000, 2.00327259968366,41.16180478872595,    0.00000000000000,
    1,    3, 0.00156250000000, 0.00781250000000, 1.99690108356181, 0.00000012047833, 1.99690096308349, 0.00381208234012, 0.00000000000000, 0.00761235089634, 2.00327247920533, 0.00000000000000, 2.00327259968366,41.16180478872595,    0.00000000000000,
    1,    4, 0.00156250000000, 0.01093750000000, 1.99690108356181, 0.00000012047833, 1.99690096308349, 0.00381208234012, 0.00000000000000, 0.00761235089634, 2.00327247920533, 0.00000000000000, 2.00327259968366,41.16180478872595,    0.00000000000000,
    1,    5, 0.00156250000000, 0.01406250000000, 1.99690108356181, 0.00000012047833, 1.99690096308349, 0.00381208234012, 0.00000000000000, 0.00761235089634, 2.00327247920533, 0.00000000000000, 2.00327259968366,41.16180478872595,    0.00000000000000,
    2,    1, 0.00468750000000, 0.00156250000000, 2.00346778586082, 0.00000108428753, 2.00346670157329, 0.00379936721935,-0.00000000000000, 0.00761190571101, 2.00981712220764, 0.00000000000000, 2.00981820649517,41.29838017371100,    0.00000000000000,
    2,    2, 0.00468750000000, 0.00468750000000, 2.00346778586082, 0.00000108428753, 2.00346670157329, 0.00379936721935,-0.00000000000000, 0.00761190571101, 2.00981712220764, 0.00000000000000, 2.00981820649517,41.29838017371100,    0.00000000000000,
    2,    3, 0.00468750000000, 0.00781250000000, 2.00346778586082, 0.00000108428753, 2.00346670157329, 0.00379936721935,-0.00000000000000, 0.00761190571101, 2.00981712220764, 0.00000000000000, 2.00981820649517,41.29838017371100,    0.00000000000000,
    2,    4, 0.00468750000000, 0.01093750000000, 2.00346778586082, 0.00000108428753, 2.00346670157329, 0.00379936721935,-0.00000000000000, 0.00761190571101, 2.00981712220764, 0.00000000000000, 2.00981820649517,41.29838017371100,    0.00000000000000,
    2,    5, 0.00468750000000, 0.01406250000000, 2.00346778586082, 0.00000108428753, 2.00346670157329, 0.00379936721935,-0.00000000000000, 0.00761190571101, 2.00981712220764, 0.00000000000000, 2.00981820649517,41.29838017371100,    0.00000000000000,
    3,    1, 0.00781250000000, 0.00156250000000, 2.01003437262000, 0.00000301181304, 2.01003136080696, 0.00378673170344, 0.00000000000000, 0.00761144947888, 2.01636081901527, 0.00000000000000, 2.01636383082831,41.43095641298217,    0.00000000000000,
    3,    2, 0.00781250000000, 0.00468750000000, 2.01003437262000, 0.00000301181304, 2.01003136080696, 0.00378673170344, 0.00000000000000, 0.00761144947888, 2.01636081901527, 0.00000000000000, 2.01636383082831,41.43095641298217,    0.00000000000000,
    3,    3, 0.00781250000000, 0.00781250000000, 2.01003437262000, 0.00000301181304, 2.01003136080696, 0.00378673170344, 0.00000000000000, 0.00761144947888, 2.01636081901527, 0.00000000000000, 2.01636383082831,41.43095641298217,    0.00000000000000,
    3,    4, 0.00781250000000, 0.01093750000000, 2.01003437262000, 0.00000301181304, 2.01003136080696, 0.00378673170344, 0.00000000000000, 0.00761144947888, 2.01636081901527, 0.00000000000000, 2.01636383082831,41.43095641298217,    0.00000000000000,
    3,    5, 0.00781250000000, 0.01406250000000, 2.01003437262000, 0.00000301181304, 2.01003136080696, 0.00378673170344, 0.00000000000000, 0.00761144947888, 2.01636081901527, 0.00000000000000, 2.01636383082831,41.43095641298217,    0.00000000000000,
    4,    1, 0.01093750000000, 0.00156250000000, 2.01660021225153, 0.00000590286908, 2.01659430938246, 0.00377417626972, 0.00000000000000, 0.00761098238812, 2.02290293893312, 0.00000000000000, 2.02290884180220,41.55948185504953,    0.00000000000000,
    4,    2, 0.01093750000000, 0.00468750000000, 2.01660021225153, 0.00000590286908, 2.01659430938246, 0.00377417626972, 0.00000000000000, 0.00761098238812, 2.02290293893312, 0.00000000000000, 2.02290884180220,41.55948185504953,    0.00000000000000,
    4,    3, 0.01093750000000, 0.00781250000000, 2.01660021225153, 0.00000590286908, 2.01659430938246, 0.00377417626972, 0.00000000000000, 0.00761098238812, 2.02290293893312, 0.00000000000000, 2.02290884180220,41.55948185504953,    0.00000000000000,
    4,    4, 0.01093750000000, 0.01093750000000, 2.01660021225153, 0.00000590286908, 2.01659430938246, 0.00377417626972, 0.00000000000000, 0.00761098238812, 2.02290293893312, 0.00000000000000, 2.02290884180220,41.55948185504953,    0.00000000000000,
    4,    5, 0.01093750000000, 0.01406250000000, 2.01660021225153, 0.00000590286908, 2.01659430938246, 0.00377417626972, 0.00000000000000, 0.00761098238812, 2.02290293893312, 0.00000000000000, 2.02290884180220,41.55948185504953,    0.00000000000000,
    5,    1, 0.01406250000000, 0.00156250000000, 2.02316467325936, 0.00000975717700, 2.02315491608237, 0.00376170137376,-0.00000000000000, 0.00761050462715, 2.02944285141804, 0.00000000000000, 2.02945260859504,41.68390526486878,    0.00000000000000,
    5,    2, 0.01406250000000, 0.00468750000000, 2.02316467325936, 0.00000975717700, 2.02315491608237, 0.00376170137376,-0.00000000000000, 0.00761050462715, 2.02944285141804, 0.00000000000000, 2.02945260859504,41.68390526486878,    0.00000000000000,
    5,    3, 0.01406250000000, 0.00781250000000, 2.02316467325936, 0.00000975717700, 2.02315491608237, 0.00376170137376,-0.00000000000000, 0.00761050462715, 2.02944285141804, 0.00000000000000, 2.02945260859504,41.68390526486878,    0.00000000000000,
    5,    4, 0.01406250000000, 0.01093750000000, 2.02316467325936, 0.00000975717700, 2.02315491608237, 0.00376170137376,-0.00000000000000, 0.00761050462715, 2.02944285141804, 0.00000000000000, 2.02945260859504,41.68390526486878,    0.00000000000000,
    5,    5, 0.01406250000000, 0.01406250000000, 2.02316467325936, 0.00000975717700, 2.02315491608237, 0.00376170137376,-0.00000000000000, 0.00761050462715, 2.02944285141804, 0.00000000000000, 2.02945260859504,41.68390526486878,    0.00000000000000,
    6,    1, 0.01718750000000, 0.00156250000000, 2.02972712429947, 0.00001457436531, 2.02971254993416, 0.00374930744989, 0.00000000000000, 0.00761001638461, 2.03597992613967, 0.00000000000000, 2.03599450050498,41.80417584375571,    0.00000000000000,
    6,    2, 0.01718750000000, 0.00468750000000, 2.02972712429947, 0.00001457436531, 2.02971254993416, 0.00374930744989, 0.00000000000000, 0.00761001638461, 2.03597992613967, 0.00000000000000, 2.03599450050498,41.80417584375571,    0.00000000000000,
    6,    3, 0.01718750000000, 0.00781250000000, 2.02972712429947, 0.00001457436531, 2.02971254993416, 0.00374930744989, 0.00000000000000, 0.00761001638461, 2.03597992613967, 0.00000000000000, 2.03599450050498,41.80417584375571,    0.00000000000000,
    6,    4, 0.01718750000000, 0.01093750000000, 2.02972712429947, 0.00001457436531, 2.02971254993416, 0.00374930744989, 0.00000000000000, 0.00761001638461, 2.03597992613967, 0.00000000000000, 2.03599450050498,41.80417584375571,    0.00000000000000,
    6,    5, 0.01718750000000, 0.01406250000000, 2.02972712429947, 0.00001457436531, 2.02971254993416, 0.00374930744989, 0.00000000000000, 0.00761001638461, 2.03597992613967, 0.00000000000000, 2.03599450050498,41.80417584375571,    0.00000000000000,
    7,    1, 0.02031250000000, 0.00156250000000, 2.03628693423992, 0.00002035396974, 2.03626658027018, 0.00373699491164, 0.00000000000000, 0.00760951784920, 2.04251353304112, 0.00000000000000, 2.04253388701086,41.92024324924297,    0.00000000000000,
    7,    2, 0.02031250000000, 0.00468750000000, 2.03628693423992, 0.00002035396974, 2.03626658027018, 0.00373699491164, 0.00000000000000, 0.00760951784920, 2.04251353304112, 0.00000000000000, 2.04253388701086,41.92024324924297,    0.00000000000000,
    7,    3, 0.02031250000000, 0.00781250000000, 2.03628693423992, 0.00002035396974, 2.03626658027018, 0.00373699491164, 0.00000000000000, 0.00760951784920, 2.04251353304112, 0.00000000000000, 2.04253388701086,41.92024324924297,    0.00000000000000,
    7,    4, 0.02031250000000, 0.01093750000000, 2.03628693423992, 0.00002035396974, 2.03626658027018, 0.00373699491164, 0.00000000000000, 0.00760951784920, 2.04251353304112, 0.00000000000000, 2.04253388701086,41.92024324924297,    0.00000000000000,
    7,    5, 0.02031250000000, 0.01406250000000, 2.03628693423992, 0.00002035396974, 2.03626658027018, 0.00373699491164, 0.00000000000000, 0.00760951784920, 2.04251353304112, 0.00000000000000, 2.04253388701086,41.92024324924297,    0.00000000000000,
    8,    1, 0.02343750000000, 0.00156250000000, 2.04284347222075, 0.00002709543321, 2.04281637678754, 0.00372476415214, 0.00000000000000, 0.00760900920966, 2.04904304239978, 0.00000000000000, 2.04907013783299,42.03205761487125,    0.00000000000000,
    8,    2, 0.02343750000000, 0.00468750000000, 2.04284347222075, 0.00002709543321, 2.04281637678754, 0.00372476415214, 0.00000000000000, 0.00760900920966, 2.04904304239978, 0.00000000000000, 2.04907013783299,42.03205761487125,    0.00000000000000,
    8,    3, 0.02343750000000, 0.00781250000000, 2.04284347222075, 0.00002709543321, 2.04281637678754, 0.00372476415214, 0.00000000000000, 0.00760900920966, 2.04904304239978, 0.00000000000000, 2.04907013783299,42.03205761487125,    0.00000000000000,
    8,    4, 0.02343750000000, 0.01093750000000, 2.04284347222075, 0.00002709543321, 2.04281637678754, 0.00372476415214, 0.00000000000000, 0.00760900920966, 2.04904304239978, 0.00000000000000, 2.04907013783299,42.03205761487125,    0.00000000000000,
    8,    5, 0.02343750000000, 0.01406250000000, 2.04284347222075, 0.00002709543321, 2.04281637678754, 0.00372476415214, 0.00000000000000, 0.00760900920966, 2.04904304239978, 0.00000000000000, 2.04907013783299,42.03205761487125,    0.00000000000000,
    9,    1, 0.02656250000000, 0.00156250000000, 2.04939610771424, 0.00003479810599, 2.04936130960825, 0.00371261554463, 0.00000000000000, 0.00760849065462, 2.05556782488793, 0.00000000000000, 2.05560262299392,42.13956956990724,    0.00000000000000,
    9,    2, 0.02656250000000, 0.00468750000000, 2.04939610771424, 0.00003479810599, 2.04936130960825, 0.00371261554463, 0.00000000000000, 0.00760849065462, 2.05556782488793, 0.00000000000000, 2.05560262299392,42.13956956990724,    0.00000000000000,
    9,    3, 0.02656250000000, 0.00781250000000, 2.04939610771424, 0.00003479810599, 2.04936130960825, 0.00371261554463, 0.00000000000000, 0.00760849065462, 2.05556782488793, 0.00000000000000, 2.05560262299392,42.13956956990724,    0.00000000000000,
    9,    4, 0.02656250000000, 0.01093750000000, 2.04939610771424, 0.00003479810599, 2.04936130960825, 0.00371261554463, 0.00000000000000, 0.00760849065462, 2.05556782488793, 0.00000000000000, 2.05560262299392,42.13956956990724,    0.00000000000000,
    9,    5, 0.02656250000000, 0.01406250000000, 2.04939610771424, 0.00003479810599, 2.04936130960825, 0.00371261554463, 0.00000000000000, 0.00760849065462, 2.05556782488793, 0.00000000000000, 2.05560262299392,42.13956956990724,    0.00000000000000,
   10,    1, 0.02968750000000, 0.00156250000000, 2.05594421058477, 0.00004346124567, 2.05590074933910, 0.00370054944286, 0.00000000000000, 0.00760796237253, 2.06208725163347, 0.00000000000000, 2.06213071287913,42.24273025898078,    0.00000000000000,
   10,    2, 0.02968750000000, 0.00468750000000, 2.05594421058477, 0.00004346124567, 2.05590074933910, 0.00370054944286, 0.00000000000000, 0.00760796237253, 2.06208725163347, 0.00000000000000, 2.06213071287913,42.24273025898078,    0.00000000000000,
   10,    3, 0.02968750000000, 0.00781250000000, 2.05594421058477, 0.00004346124567, 2.05590074933910, 0.00370054944286, 0.00000000000000, 0.00760796237253, 2.06208725163347, 0.00000000000000, 2.06213071287913,42.24273025898078,    0.00000000000000,
   10,    4, 0.02968750000000, 0.01093750000000, 2.05594421058477, 0.00004346124567, 2.05590074933910, 0.00370054944286, 0.00000000000000, 0.00760796237253, 2.06208725163347, 0.00000000000000, 2.06213071287913,42.24273025898078,    0.00000000000000,
   10,    5, 0.02968750000000, 0.01406250000000, 2.05594421058477, 0.00004346124567, 2.05590074933910, 0.00370054944286, 0.00000000000000, 0.00760796237253, 2.06208725163347, 0.00000000000000, 2.06213071287913,42.24273025898078,    0.00000000000000,
   11,    1, 0.03281250000000, 0.00156250000000, 2.06248715114876, 0.00005308401727, 2.06243406713149, 0.00368856618151, 0.00000000000000, 0.00760742455161, 2.06860069428046, 0.00000000000000, 2.06865377829774,42.34149136163340,    0.00000000000000,
   11,    2, 0.03281250000000, 0.00468750000000, 2.06248715114876, 0.00005308401727, 2.06243406713149, 0.00368856618151, 0.00000000000000, 0.00760742455161, 2.06860069428046, 0.00000000000000, 2.06865377829774,42.34149136163340,    0.00000000000000,
   11,    3, 0.03281250000000, 0.00781250000000, 2.06248715114876, 0.00005308401727, 2.06243406713149, 0.00368856618151, 0.00000000000000, 0.00760742455161, 2.06860069428046, 0.00000000000000, 2.06865377829774,42.34149136163340,    0.00000000000000,
   11,    4, 0.03281250000000, 0.01093750000000, 2.06248715114876, 0.00005308401727, 2.06243406713149, 0.00368856618151, 0.00000000000000, 0.00760742455161, 2.06860069428046, 0.00000000000000, 2.06865377829774,42.34149136163340,    0.00000000000000,
   11,    5, 0.03281250000000, 0.01406250000000, 2.06248715114876, 0.00005308401727, 2.06243406713149, 0.00368856618151, 0.00000000000000, 0.00760742455161, 2.06860069428046, 0.00000000000000, 2.06865377829774,42.34149136163340,    0.00000000000000,
   12,    1, 0.03593750000000, 0.00156250000000, 2.06902430023497, 0.00006366549334, 2.06896063474163, 0.00367666607666, 0.00000000000000, 0.00760687737969, 2.07510752504977, 0.00000000000000, 2.07517119054311,42.43580511177097,    0.00000000000000,
   12,    2, 0.03593750000000, 0.00468750000000, 2.06902430023497, 0.00006366549334, 2.06896063474163, 0.00367666607666, 0.00000000000000, 0.00760687737969, 2.07510752504977, 0.00000000000000, 2.07517119054311,42.43580511177097,    0.00000000000000,
   12,    3, 0.03593750000000, 0.00781250000000, 2.06902430023497, 0.00006366549334, 2.06896063474163, 0.00367666607666, 0.00000000000000, 0.00760687737969, 2.07510752504977, 0.00000000000000, 2.07517119054311,42.43580511177097,    0.00000000000000,
   12,    4, 0.03593750000000, 0.01093750000000, 2.06902430023497, 0.00006366549334, 2.06896063474163, 0.00367666607666, 0.00000000000000, 0.00760687737969, 2.07510752504977, 0.00000000000000, 2.07517119054311,42.43580511177097,    0.00000000000000,
   12,    5, 0.03593750000000, 0.01406250000000, 2.06902430023497, 0.00006366549334, 2.06896063474163, 0.00367666607666, 0.00000000000000, 0.00760687737969, 2.07510752504977, 0.00000000000000, 2.07517119054311,42.43580511177097,    0.00000000000000,
   13,    1, 0.03906250000000, 0.00156250000000, 2.07555502924402, 0.00007520465401, 2.07547982459001, 0.00366484942619, 0.00000000000000, 0.00760632104421, 2.08160711679948, 0.00000000000000, 2.08168232145349,42.52562431701242,    0.00000000000000,
